Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Dom Mantell,69147391,10,66,0,Yes,11829186,9429186,12,0,18,Yes,11979186,9429186,10,0,16,Yes,11050933,9435933,6,1,7,Yes,11800473,9435473,6,0,10,Yes,11467139,9435889,7,0,9,Yes,11020474,9436099,5,0,6
DoggoMcNugget,49373032,19,19,0,Yes,8589115,7789115,4,0,8,Yes,8141362,7791362,2,0,3,Yes,8139414,7798164,1,0,2,Yes,7821724,7821724,0,0,0,Yes,8335991,7832241,2,0,3,Yes,8345426,7841676,2,0,3
Ocatarinetabelachitchix,61432714,6,31,0,Yes,11334331,9234331,9,0,15,Yes,9493340,9243340,3,0,2,Yes,10428042,9245542,4,0,3,Yes,10952008,9245758,4,0,7,Yes,9754529,9250779,5,0,3,Yes,9470464,9251089,2,0,1
Nacho420,60432486,14,2,0,Yes,9735270,9735270,0,0,0,Yes,9736998,9736998,0,0,0,Yes,9739936,9739936,0,0,0,Yes,9750280,9750280,0,1,0,Yes,10735001,9747813,2,0,1,Yes,10735001,9747813,1,0,1
Ulaste Saque,69496207,1,42,0,Yes,12041743,10041743,10,0,14,Yes,11592739,10042739,8,0,7,Yes,11689456,9881956,10,0,6,Yes,12015441,10041691,8,1,7,Yes,11395356,10046606,7,0,5,Yes,10761472,10048503,3,0,3
Holdem,61501799,24,42,0,Yes,10556111,9156111,9,0,11,Yes,10807361,9157361,6,0,11,Yes,10183028,9159278,3,0,6,Yes,10254873,9159873,5,0,7,Yes,9720735,9160110,3,0,3,Yes,9979691,9161097,3,0,4
ShibaFett,48736314,6,21,2,Yes,8429307,7629307,5,0,8,Yes,8079727,7629727,4,0,4,Yes,8519686,7678436,5,0,5,Yes,8021033,7679783,1,0,2,Yes,7679783,7679783,0,0,0,Yes,8006778,7681778,2,0,2
Timaydawg11,33834467,0,2,0,Yes,8603867,8403867,1,0,2,No,0,0,0,0,0,Yes,8410177,8410177,0,0,0,Yes,8410177,8410177,0,0,0,Yes,8410246,8410246,0,0,0,No,0,0,0,0,0
Parksimus Primo,61184587,16,21,0,Yes,9365432,9365432,0,0,0,Yes,10668936,9368936,5,0,8,Yes,10130943,9380943,3,0,4,Yes,11088031,9381781,4,0,7,Yes,9390363,9390363,1,0,0,Yes,10540882,9391194,2,0,2
Wall,52291109,4,16,1,Yes,10352253,9752253,3,0,6,Yes,10502253,9752253,2,0,3,No,0,0,0,0,0,Yes,10252253,9752253,1,0,1,Yes,11432097,9752253,4,0,6,Yes,9752253,9752253,0,0,0
Wingman19,54518748,1,32,0,Yes,9933383,8133383,8,0,15,Yes,9233383,8133383,5,0,7,Yes,8889044,8139044,4,0,4,Yes,8483529,8142279,1,1,2,Yes,9296166,8146478,2,0,2,Yes,8683243,8189649,2,0,2
xle spartanx,43621129,1,0,0,Yes,7261691,7261691,0,0,0,Yes,7262831,7262831,0,0,0,Yes,7267203,7267203,0,0,0,Yes,7268827,7268827,0,0,0,Yes,7268827,7268827,0,0,0,Yes,7291750,7291750,0,0,0
Drkacha,21811137,0,8,0,No,0,0,0,0,0,Yes,7591557,6941557,3,0,6,No,0,0,0,0,0,Yes,6946531,6946531,1,0,0,Yes,7273049,6948049,2,0,2,No,0,0,0,0,0
Nelsonho,46321482,11,0,0,Yes,7720247,7720247,0,0,0,Yes,7720247,7720247,0,0,0,Yes,7720247,7720247,0,0,0,Yes,7720247,7720247,0,0,0,Yes,7720247,7720247,0,0,0,Yes,7720247,7720247,0,0,0
Novataglio,47785879,0,16,0,Yes,8561526,7361526,6,0,9,Yes,8111526,7361526,2,0,3,Yes,8045923,7363423,1,0,1,Yes,8170923,7363423,4,1,2,Yes,7525923,7363423,2,0,1,Yes,7370058,7370058,2,0,0
MysterPurple,54852665,3,56,0,No,4733438,2333438,11,0,18,Yes,11431694,10306694,4,0,6,Yes,12933922,10318922,9,0,13,No,3361976,1496976,6,1,9,Yes,11848669,10321169,6,0,9,Yes,10542966,10323591,2,0,1
ObiDonKenobi,48454302,1,8,0,Yes,8440267,7940267,5,0,5,Yes,8240538,7940538,3,0,3,Yes,7941214,7941214,1,0,0,Yes,7942841,7942841,0,0,0,Yes,7944721,7944721,0,0,0,Yes,7944721,7944721,0,0,0
CoreyJ0513,73407589,13,27,0,Yes,11200061,11200061,0,0,0,Yes,11577613,11202613,2,0,3,Yes,11210117,11210117,0,0,0,Yes,13916439,11210189,8,1,12,Yes,13563157,11227219,6,0,9,Yes,11940202,11227233,2,0,3
Edeko,42645520,0,5,0,Yes,8784137,8184137,2,0,3,Yes,8309137,8184137,1,0,1,No,160498,160498,0,1,0,Yes,8918156,8235656,3,0,1,Yes,8236796,8236796,2,0,0,Yes,8236796,8236796,1,0,0
Rev Lazarus Ansel Digby,53717657,15,2,0,Yes,8910061,8910061,0,0,0,Yes,9123119,8923119,1,0,2,Yes,8920562,8920562,0,0,0,Yes,8920562,8920562,0,0,0,Yes,8921192,8921192,0,0,0,Yes,8922161,8922161,0,0,0
schmerp,63505245,5,42,0,Yes,10144952,9544952,3,1,6,Yes,11161584,9561584,7,0,14,Yes,10153821,9562571,2,0,4,Yes,11893838,9562588,7,0,12,Yes,9904900,9563650,1,0,2,Yes,10246150,9563650,2,0,4
8ONE5,48367767,5,0,0,Yes,8045044,8045044,0,0,0,Yes,8046331,8046331,0,0,0,Yes,8120342,8120342,0,0,0,Yes,8047408,8047408,0,0,0,Yes,8052911,8052911,0,0,0,Yes,8055731,8055731,0,0,0
VERY NICE,41256423,1,9,0,Yes,8994768,7894768,5,0,8,No,0,0,0,0,0,Yes,7894768,7894768,0,1,0,Yes,8577268,7894768,1,0,1,Yes,7894801,7894801,1,0,0,Yes,7894818,7894818,0,0,0
Ramitko,49134833,3,16,0,Yes,10337934,9437934,5,0,9,No,249759,49759,1,0,2,Yes,9938770,9438770,3,0,3,Yes,9564910,9439910,2,0,1,Yes,9602410,9439910,1,0,1,Yes,9441050,9441050,0,0,0
Lazypants,52944515,3,3,2,Yes,9156808,8656808,2,0,2,Yes,9159580,8659580,1,0,1,Yes,8659580,8659580,0,0,0,Yes,8659946,8659946,0,1,0,Yes,8652847,8652847,0,0,0,Yes,8655754,8655754,0,0,0
snord,57998888,6,33,0,Yes,10476739,8876739,8,0,13,Yes,9251507,8876507,3,0,3,Yes,10127770,8877770,6,0,8,Yes,8879544,8879544,0,1,0,Yes,10052856,8882856,6,0,7,Yes,9210472,8885472,2,0,2
Losersrage,58053249,1,17,0,Yes,10227995,9127995,5,0,8,Yes,9677995,9127995,6,0,5,Yes,9129724,9129724,1,0,0,Yes,9162006,9162006,2,1,0,Yes,9486983,9161983,4,0,2,Yes,10368546,9161983,2,0,2
HockettG,27565594,0,3,0,No,0,0,0,0,0,Yes,6669284,6669284,0,0,0,No,670380,329130,1,1,2,Yes,6671251,6671251,0,0,0,Yes,6833751,6671251,1,0,1,Yes,6720928,6720928,0,0,0
Savahawk,68789554,58,9,0,Yes,12012209,11312209,5,0,7,Yes,11514192,11314192,1,0,2,Yes,11314426,11314426,0,0,0,Yes,11314507,11314507,0,1,0,Yes,11317098,11317098,1,0,0,Yes,11317122,11317122,0,0,0
Colargol,55804605,5,12,0,Yes,10066971,9066971,6,0,10,Yes,9066971,9066971,0,0,0,Yes,9448879,9073879,2,0,2,Yes,9073928,9073928,0,1,0,Yes,9073928,9073928,0,0,0,Yes,9073928,9073928,0,0,0
Ken666,48732386,0,35,0,Yes,10475452,8575452,10,0,16,Yes,8825452,8575452,1,0,2,No,750407,500407,3,0,2,Yes,10959497,8590747,7,0,12,Yes,8608914,8608914,0,0,0,Yes,9112664,8608914,3,0,3
Loo Roller,53892079,19,10,0,Yes,8653002,8653002,0,0,0,Yes,9404966,8654966,2,0,3,Yes,9155119,8655119,2,0,3,Yes,9346163,8663663,3,0,4,Yes,8663663,8663663,0,0,0,Yes,8669166,8669166,1,0,0
