Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Taero,47773474,38,21,0,Yes,10964204,8864204,10,0,,Yes,9864204,8864204,5,0,,Yes,8871387,8871387,0,0,0,Yes,8897785,8897785,0,0,0,Yes,8900155,8900155,0,1,0,No,275739,275739,0,0,0
Obo Nâm,39191549,29,26,0,Yes,9601771,8601771,7,0,,Yes,8977795,8602795,5,0,,Yes,9005696,8605696,2,0,4,No,2126254,1410004,5,0,0,Yes,8940072,8615072,2,0,5,No,539961,198711,1,0,4
3ATM3,46567691,34,5,0,Yes,9144408,9144408,0,0,,Yes,9536099,9161099,3,0,,No,0,0,0,0,0,Yes,9177982,9177982,0,0,0,Yes,9523992,9182742,1,0,2,Yes,9185210,9185210,0,0,0
KH2 Reuben Jones2,58477455,24,21,0,Yes,9135136,9135136,1,0,,Yes,10137033,9137033,3,0,,Yes,10637033,9137033,6,0,7,Yes,9263849,9138849,1,0,2,Yes,10164077,9140327,3,0,7,Yes,9140327,9140327,1,0,0
Leonimo,58078191,12,9,0,Yes,10652530,9452530,7,0,,Yes,9481534,9481534,0,0,,Yes,9482643,9482643,0,1,0,Yes,9484574,9484574,0,0,0,Yes,9488286,9488286,0,0,0,Yes,9488624,9488624,0,0,0
macdaddyx4,51994522,4,0,0,Yes,8662122,8662122,0,0,,Yes,8662122,8662122,0,0,,Yes,8665006,8665006,0,0,0,Yes,8665006,8665006,0,0,0,Yes,8670133,8670133,0,0,0,Yes,8670133,8670133,0,0,0
JaegerJoe,45772697,10,24,0,Yes,9268976,8168976,8,0,,Yes,8920215,8170215,4,0,,Yes,8670382,8170382,2,1,0,Yes,8683357,8179607,4,0,3,Yes,8862107,8179607,2,0,4,No,1367660,685160,3,0,4
Locohoco,47046539,26,26,0,No,4443213,2743213,7,0,,Yes,10155743,9905743,3,0,,Yes,11613511,9907261,4,0,4,Yes,10591408,9908908,3,0,5,Yes,10242664,9917664,2,1,4,No,0,0,0,0,2
Banshajn,57952521,6,60,0,Yes,11400173,9500173,10,0,,Yes,11258904,9508904,6,0,,Yes,12982454,9526204,11,0,18,Yes,10749028,9529028,6,0,8,Yes,11561962,9530712,6,0,6,No,0,0,0,0,3
Werner Hoffmann,63457638,26,39,0,Yes,11057844,9357844,10,0,,Yes,10370813,9370813,3,0,,Yes,11107496,9374996,5,1,8,Yes,10124656,9374656,3,0,6,Yes,10909425,9381925,4,0,6,Yes,9887404,9383654,2,0,3
Sur Nikka,8512786,1,1,0,No,0,0,0,0,,No,453001,203001,1,0,,No,0,0,0,0,1,Yes,8059785,8059785,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0
cheeks,62496050,13,46,0,Yes,11207615,9307615,10,0,,Yes,10071124,9321124,6,0,,Yes,10844855,9321105,6,1,9,Yes,9695994,9320994,2,0,0,Yes,10516981,9330731,5,0,10,Yes,10159481,9330731,4,0,5
RealD,52040876,9,12,0,Yes,9218711,8318711,5,0,,Yes,8569293,8319293,2,0,,Yes,9066037,8324787,2,0,0,Yes,8339168,8339168,3,0,3,Yes,8341586,8341586,0,0,0,Yes,8506081,8343581,2,0,1
DarthBrodious,49573656,8,12,1,No,7273786,7273786,0,0,,Yes,10663699,9913699,3,0,,Yes,9920460,9920460,0,0,4,Yes,10602960,9920460,2,0,0,Yes,11112751,9926501,3,1,4,No,0,0,0,0,4
Anci,43975930,6,20,0,Yes,9711436,7911436,10,0,,Yes,8161436,7911436,5,0,,Yes,8935186,7911436,2,0,0,Yes,8411436,7911436,4,0,3,Yes,8756436,7911436,3,0,1,No,0,0,0,0,2
Preece,46107853,44,0,0,Yes,9223940,9223940,0,0,,Yes,9210388,9210388,0,0,,Yes,9219412,9219412,0,0,0,Yes,9219984,9219984,0,0,0,Yes,9234129,9234129,0,0,0,No,0,0,0,0,0
ajg,44340033,23,1,0,Yes,8836255,8836255,0,0,,Yes,8840435,8840435,0,0,,Yes,8841391,8841391,0,0,0,Yes,8967378,8842378,1,0,1,No,0,0,0,0,0,Yes,8854574,8854574,0,0,0
Sr413,43682671,8,21,0,Yes,9276638,8176638,6,0,,Yes,8682198,8182198,3,0,,Yes,8823448,8182198,3,1,4,Yes,8186300,8186300,0,0,2,Yes,8186751,8186751,0,0,0,No,527336,186086,1,0,2
Asil Ruuish,52446585,1,11,0,Yes,9241974,8541974,5,0,,Yes,8543639,8543639,0,0,,Yes,8993639,8543639,3,0,4,Yes,8553041,8553041,0,0,0,Yes,8557146,8557146,0,0,0,Yes,8557146,8557146,0,0,0
FollowerofRevan,44748047,5,30,0,Yes,10485953,9785953,4,0,,Yes,11036269,9786269,5,0,,No,1995854,845854,5,0,8,Yes,9913537,9788537,1,0,1,Yes,11316434,9788934,4,1,6,No,0,0,0,0,0
Kän Ra,48551214,0,30,0,Yes,8585583,6685583,9,0,,Yes,8061662,6686662,5,0,,Yes,7630844,7630844,0,0,0,Yes,7979496,7638246,2,0,0,Yes,7966725,7625475,1,1,2,Yes,8326904,7644404,2,0,6
Blackthorn,39199621,1,9,0,Yes,9699177,9299177,3,0,,No,0,0,0,0,,Yes,10884059,9301559,4,1,4,Yes,9308071,9308071,1,0,1,Yes,9308314,9308314,0,0,0,No,0,0,0,0,0
olliekobra,43302878,0,5,0,Yes,7152707,7052707,3,0,,Yes,7569018,7069018,3,0,,Yes,7324751,7074751,1,0,1,Yes,7084380,7084380,1,0,0,Yes,7085801,7085801,0,0,0,Yes,7086221,7086221,0,0,0
pacheo2325,23506296,11,12,0,Yes,9374370,9374370,0,0,,No,1835354,1335354,5,0,,No,2569068,1319068,5,1,11,No,334767,172267,1,0,0,Yes,9392737,9392737,1,0,1,No,0,0,0,0,0
HopDreama,52459092,13,29,0,Yes,8951759,7951759,8,0,,Yes,9214798,7964798,4,0,,Yes,9206754,7965504,6,0,9,Yes,8311741,7970491,6,0,2,Yes,8312128,7970878,2,0,2,Yes,8461912,7974412,3,0,3
Them Legs Is Dangerous,55356501,1,35,0,Yes,9658761,8458761,7,0,,Yes,9213196,8463196,3,0,,Yes,9313925,8463925,4,0,8,Yes,9055175,8463925,3,0,4,Yes,8968242,8464492,2,0,3,Yes,9147202,8464702,3,0,4
kernowjg,44769147,17,23,0,Yes,9298978,8198978,6,0,,Yes,8948978,8198978,3,0,,Yes,9098978,8198978,5,0,0,Yes,8198978,8198978,1,0,6,Yes,9223235,8199485,3,1,6,No,0,0,0,0,0
ThePassifier,42776130,6,0,0,Yes,8550192,8550192,0,0,,Yes,8550192,8550192,0,0,,Yes,8551544,8551544,0,0,0,Yes,8562093,8562093,0,0,0,Yes,8562109,8562109,0,0,0,No,0,0,0,0,0
Cameron2394,58218082,15,52,0,Yes,11608778,9708778,11,0,,Yes,11335476,9710476,6,0,,Yes,12477255,9712255,11,1,14,Yes,10178505,9712255,5,0,3,Yes,11410984,9720984,6,0,7,No,1207084,540834,3,0,4
oxo,46152572,3,31,0,No,833281,433281,2,0,,Yes,11358734,9858734,5,0,,Yes,11565194,9858944,4,0,4,Yes,10814487,9881987,5,0,3,Yes,11580876,9890876,5,0,11,No,0,0,0,0,2
Maximouse,25782358,3,3,0,Yes,6554109,6354109,1,0,,No,0,0,0,0,,Yes,6354949,6354949,0,0,0,Yes,6517900,6355400,1,0,1,Yes,6355400,6355400,0,0,0,No,0,0,0,0,0
Hold The Door,29230658,4,16,0,Yes,8906555,8506555,5,0,,No,1917107,917107,3,0,,Yes,8859343,8518093,1,1,0,Yes,9022436,8522436,4,0,6,No,525217,183967,1,0,0,No,0,0,0,0,2
ShibaFett,35487920,2,27,5,No,1777449,1177449,5,0,,Yes,7913886,7163886,4,0,,Yes,8455420,7505420,5,0,0,Yes,8209815,7581065,3,0,6,Yes,7911047,7586047,2,0,4,No,1220303,537803,3,0,6
Jaxon,46271924,1,35,0,Yes,10169358,8069358,9,0,,Yes,9072387,8072387,3,0,,Yes,9322708,8072708,5,0,8,Yes,8760415,8077915,2,0,0,Yes,8419783,8078533,1,0,4,No,527273,186023,1,0,4
riiiiiiiiip,50880716,6,37,0,Yes,10565321,9165321,8,0,,Yes,9915427,9165427,4,0,,Yes,10622028,9198278,5,0,4,Yes,9888089,9205589,2,0,6,Yes,9889851,9207351,2,1,4,No,0,0,0,0,4
Tel Angor,24755149,1,19,0,No,5649442,4749442,8,0,,No,0,0,0,0,,No,826386,526386,3,0,3,Yes,8596982,8309482,6,0,2,Yes,9682339,8317339,4,0,5,No,0,0,0,0,0
BladeWolf,0,0,0,0,No,0,0,0,0,,No,0,0,0,0,,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0
